query_id,query,bm25_rr,dense_rr,hybrid_rr,bm25_ndcg,dense_ndcg,hybrid_ndcg,dense_vs_bm25_rr_diff,dense_vs_bm25_ndcg_diff,hybrid_vs_bm25_rr_diff,hybrid_vs_bm25_ndcg_diff,hybrid_vs_dense_rr_diff,hybrid_vs_dense_ndcg_diff,failure_types
4,bahar dönemi başlangıç tarihi nedir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,güz yarıyılı final sınav haftası hangi tarihler arasındadır,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,long_query
12,maksimum akts sınırı nedir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,lisans programlarında azami öğrenim süresi kaç yıldır,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,long_query
15,genel not ortalaması hangi formüle göre hesaplanmaktadır,0.5,0.5,0.5,0.4912596920895758,0.4912596920895758,0.4912596920895758,0.0,0.0,0.0,0.0,0.0,0.0,"long_query,ranking_error,hard_query"
18,devamsızlık nedeniyle başarısız sayılma oranı nedir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,kayıt dondurma süresi öğrenim süresine dahil,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,çift anadal programına başvuru gerekli asgari not ortalaması nedir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,long_query
30,çap minimum ortalama kaç olmalı,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,yatay geçiş başvuruları hangi tarihlerde yapılmaktadır,1.0,1.0,1.0,0.6548086577531307,0.6548086577531307,0.6548086577531307,0.0,0.0,0.0,0.0,0.0,0.0,
36,yaz okulunda alınan dersler ortalamaya katılır,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,özel gereksinimli öğrenciler sınavlarda hangi düzenlemeler yapılabilir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,long_query
65,muafiyet intibak kararlarına itiraz edilebilir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,yandal öğrencisi başarısız olursa programla ilişiği kesilir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,long_query
76,katkı payı ödemeyen öğrencinin kaydı yenilenir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,üstten ders alma koşulları nelerdir,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
